tmdb_id,title,year,status,rt_url,rt_title,imdb_id,critics_score,critics_sentiment,audience_score,audience_sentiment,mpaa_rating
9318,Asterix in Britain,1986,ok,https://www.rottentomatoes.com/m/asterix_in_britain,Asterix in Britain,,,,77,POSITIVE,
9319,The Last Boy Scout,1991,ok,https://www.rottentomatoes.com/m/last_boy_scout,The Last Boy Scout,,46,NEGATIVE,68,POSITIVE,R
9320,The Avengers,1998,ok,https://www.rottentomatoes.com/m/1083461-avengers,The Avengers,,5,NEGATIVE,15,NEGATIVE,PG-13
9321,The Polar Bear,1998,not_found,,,,,,,,
9322,Nikita,1990,ok,https://www.rottentomatoes.com/m/la_femme_nikita,Nikita,,89,POSITIVE,84,POSITIVE,R
9323,Ghost in the Shell,1995,ok,https://www.rottentomatoes.com/m/ghost_in_the_shell,Ghost in the Shell,,95,POSITIVE,89,POSITIVE,
9325,The Jungle Book,1967,ok,https://www.rottentomatoes.com/m/1031385-jungle_book,The Jungle Book,,88,POSITIVE,82,POSITIVE,G
9326,Romancing the Stone,1984,ok,https://www.rottentomatoes.com/m/romancing_the_stone,Romancing the Stone,,86,POSITIVE,70,POSITIVE,PG
9327,The Nutty Professor,1996,ok,https://www.rottentomatoes.com/m/the_nutty_professor_1996,The Nutty Professor (1996),,64,POSITIVE,44,NEGATIVE,PG-13
9330,Karma,2008,ok,https://www.rottentomatoes.com/m/karma_2026,Karma (2026),,,,,,
9331,Clear and Present Danger,1994,ok,https://www.rottentomatoes.com/m/clear_and_present_danger,Clear and Present Danger,,81,POSITIVE,74,POSITIVE,PG-13
9333,Last Man Standing,1996,ok,https://www.rottentomatoes.com/m/last_man_standing,Last Man Standing,,42,NEGATIVE,51,NEGATIVE,R
9334,The Scorpion King,2002,ok,https://www.rottentomatoes.com/m/scorpion_king,The Scorpion King,,40,NEGATIVE,38,NEGATIVE,PG-13
9335,Transporter 2,2005,ok,https://www.rottentomatoes.com/m/transporter_2,Transporter 2,,52,NEGATIVE,58,NEGATIVE,PG-13
9336,Police Academy,1984,ok,https://www.rottentomatoes.com/m/police_academy,Police Academy,,58,NEGATIVE,64,POSITIVE,R
9337,Girls on Top,2001,ok,https://www.rottentomatoes.com/m/madchen_madchen_2001,Girls on Top (2001),,,,48,NEGATIVE,
9339,Click,2006,ok,https://www.rottentomatoes.com/m/click,Click,,34,NEGATIVE,66,POSITIVE,PG-13
9340,The Goonies,1985,ok,https://www.rottentomatoes.com/m/goonies,The Goonies,,77,POSITIVE,90,POSITIVE,PG
9341,The Core,2003,ok,https://www.rottentomatoes.com/m/core,The Core,,39,NEGATIVE,34,NEGATIVE,PG-13
9342,The Mask of Zorro,1998,ok,https://www.rottentomatoes.com/m/mask_of_zorro,The Mask of Zorro,,86,POSITIVE,73,POSITIVE,PG-13
9343,Fitzcarraldo,1982,ok,https://www.rottentomatoes.com/m/fitzcarraldo,Fitzcarraldo,,77,POSITIVE,92,POSITIVE,PG
