tmdb_id,imdb_id,title,genre,director,producers,screenwriters,imdb_rating,imdb_vote_count,running_time_minutes
3924,tt0029927,Blondie,"Comedy, Family",Frank R. Strayer,,"Richard Flournoy, Chic Young",6.9,937,70
8773,tt0055747,Love at Twenty,"Drama, Romance","Shintarō Ishihara, Marcel Ophüls, Renzo Rossellini, François Truffaut, Andrzej Wajda",Pierre Roustang,"François Truffaut, Renzo Rossellini, Shintarō Ishihara, Marcel Ophüls, Jerzy Stefan Stawinski",7.1,2581,110
2,tt0094675,Ariel,"Comedy, Crime, Drama",Aki Kaurismäki,Aki Kaurismäki,Aki Kaurismäki,7.4,9953,72
3,tt0092149,Shadows in Paradise,"Comedy, Drama, Music",Aki Kaurismäki,Mika Kaurismäki,Aki Kaurismäki,7.4,8809,74
5,tt0113101,Four Rooms,Comedy,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",Lawrence Bender,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",6.7,117269,98
6,tt0107286,Judgment Night,"Action, Crime, Drama",Stephen Hopkins,Gene Levy,"Lewis Colick, Jere Cunningham",6.6,21223,110
8,tt0825671,Life in Loops (A Megacities RMX),Documentary,Timo Novotny,"Ulrich Gehmacher, Timo Novotny","Michael Glawogger, Timo Novotny",8.1,285,79
9,tt0425473,Sunday in August,Short,Marc Meyer,Marc Meyer,Marc Meyer,6.8,14,15
11,tt0076759,Star Wars,"Action, Adventure, Fantasy",George Lucas,"Gary Kurtz, Rick McCallum",George Lucas,8.6,1580880,121
12,tt0266543,Finding Nemo,"Adventure, Animation, Comedy","Andrew Stanton, Lee Unkrich",Graham Walters,"Andrew Stanton, Bob Peterson, David Reynolds",8.2,1218525,100
13,tt0109830,Forrest Gump,"Drama, Romance",Robert Zemeckis,"Wendy Finerman, Steve Starkey, Steve Tisch","Winston Groom, Eric Roth",8.8,2518184,142
14,tt0169547,American Beauty,Drama,Sam Mendes,"Bruce Cohen, Dan Jinks",Alan Ball,8.3,1284170,122
15,tt0033467,Citizen Kane,"Drama, Mystery",Orson Welles,Orson Welles,"Herman J. Mankiewicz, Orson Welles, John Houseman, Roger Q. Denny, Mollie Kent",8.2,494974,119
16,tt0168629,Dancer in the Dark,"Crime, Drama, Musical",Lars von Trier,Vibeke Windeløv,"Lars von Trier, Sjón",7.9,124682,135
17,tt0411267,The Dark,"Drama, Fantasy, Horror",John Fawcett,"Paul W.S. Anderson, Jeremy Bolt","Simon Maginn, Stephen Massicotte",5.3,11926,93
18,tt0119116,The Fifth Element,"Action, Adventure, Sci-Fi",Luc Besson,Patrice Ledoux,"Luc Besson, Robert Mark Kamen",7.6,549164,126
19,tt0017136,Metropolis,"Drama, Sci-Fi",Fritz Lang,Erich Pommer,"Thea von Harbou, Fritz Lang",8.2,202294,150
20,tt0314412,My Life Without Me,"Drama, Romance",Isabel Coixet,"Esther García, Gordon McLennan","Nanci Kincaid, Isabel Coixet",7.4,26689,106
21,tt0060371,The Endless Summer,"Documentary, Sport",Bruce Brown,"Robert Bagley, Bruce Brown",Bruce Brown,7.6,6963,95
22,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",Gore Verbinski,Jerry Bruckheimer,"Ted Elliott, Terry Rossio, Stuart Beattie, Jay Wolpert",8.1,1337500,143
24,tt0266697,Kill Bill: Vol. 1,"Action, Crime, Thriller",Quentin Tarantino,Lawrence Bender,"Quentin Tarantino, Uma Thurman",8.2,1317740,111
25,tt0418763,Jarhead,"Biography, Drama, War",Sam Mendes,"Lucy Fisher, Douglas Wick","William Broyles Jr., Anthony Swofford",7.0,226226,125
26,tt0352994,Walk on Water,"Drama, Mystery, Thriller",Eytan Fox,"Amir Harel, Gal Uchovsky","Knut Berger, Caroline Peters, Andreas Struck, Gal Uchovsky",7.3,7230,103
27,tt0411705,9 Songs,"Drama, Music, Romance",Michael Winterbottom,Andrew Eaton,Michael Winterbottom,4.7,25631,71
28,tt0078788,Apocalypse Now,"Drama, Mystery, War",Francis Ford Coppola,"Kim Aubry, Francis Ford Coppola","John Milius, Francis Ford Coppola, Michael Herr, Joseph Conrad",8.4,774704,147
33,tt0105695,Unforgiven,"Drama, Western",Clint Eastwood,Clint Eastwood,David Webb Peoples,8.2,470676,130
35,tt0462538,The Simpsons Movie,"Adventure, Animation, Comedy",David Silverman,"James L. Brooks, Matt Groening, Al Jean, Richard Sakai","James L. Brooks, Matt Groening, Al Jean, Ian Maxtone-Graham, George Meyer, David Mirkin, Mike Reiss, Mike Scully, Matt Selman, John Swartzwelder, Jon Vitti",7.3,364578,87
38,tt0338013,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",Michel Gondry,"Anthony Bregman, Steve Golin","Charlie Kaufman, Michel Gondry, Pierre Bismuth",8.3,1190155,108
55,tt0245712,Amores Perros,"Drama, Thriller",Alejandro G. Iñárritu,Alejandro G. Iñárritu,Guillermo Arriaga,8.0,272187,154
58,tt0383574,Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy",Gore Verbinski,Jerry Bruckheimer,"Ted Elliott, Terry Rossio, Stuart Beattie, Jay Wolpert",7.4,832221,151
59,tt0399146,A History of Violence,"Action, Crime, Drama",David Cronenberg,"Chris Bender, J.C. Spink","John Wagner, Vince Locke, Josh Olson",7.4,275786,96
62,tt0062622,2001: A Space Odyssey,"Adventure, Sci-Fi",Stanley Kubrick,Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke",8.3,788581,149
63,tt0114746,Twelve Monkeys,"Mystery, Sci-Fi, Thriller",Terry Gilliam,Charles Roven,"Chris Marker, David Webb Peoples, Janet Peoples",8.0,682180,129
64,tt0287467,Talk to Her,"Drama, Mystery, Romance",Pedro Almodóvar,,Pedro Almodóvar,7.9,120940,112
65,tt0298203,8 Mile,"Drama, Music",Curtis Hanson,"Brian Grazer, Curtis Hanson, Jimmy Iovine",Scott Silver,7.2,353706,110
66,tt0118548,Absolute Power,"Action, Crime, Drama",Clint Eastwood,"Clint Eastwood, Karen S. Spiegel","David Baldacci, William Goldman",6.7,65354,121
67,tt0445620,Paradise Now,"Crime, Drama, Thriller",Hany Abu-Assad,"Bero Beyer, Amir Harel, Gerhard Meixner, Hengameh Panahi","Hany Abu-Assad, Bero Beyer, Pierre Hodgson",7.4,24933,91
68,tt0088846,Brazil,"Drama, Sci-Fi, Thriller",Terry Gilliam,Arnon Milchan,"Terry Gilliam, Tom Stoppard, Charles McKeown, Charles Alverson",7.8,222486,132
69,tt0358273,Walk the Line,"Biography, Drama, Music",James Mangold,"James Keach, Cathy Konrad","Johnny Cash, Gill Dennis, James Mangold, Patrick Carr",7.8,281765,136
70,tt0405159,Million Dollar Baby,"Drama, Sport",Clint Eastwood,"Clint Eastwood, Paul Haggis, Tom Rosenberg, Albert S. Ruddy","Paul Haggis, F.X. Toole",8.1,770332,132
71,tt0249462,Billy Elliot,"Drama, Music",Stephen Daldry,"Greg Brenman, Jon Finn",Lee Hall,7.7,153109,110
73,tt0120586,American History X,"Crime, Drama",Tony Kaye,John Morrissey,David McKenna,8.5,1280699,119
74,tt0407304,War of the Worlds,"Action, Adventure, Sci-Fi",Steven Spielberg,"Kathleen Kennedy, Colin Wilson","Josh Friedman, David Koepp, H.G. Wells",6.6,511068,117
75,tt0116996,Mars Attacks!,"Comedy, Sci-Fi",Tim Burton,"Tim Burton, Larry Franco","Len Brown, Woody Gelman, Wally Wood, Bob Powell, Norman Saunders, Jonathan Gems",6.4,259937,106
76,tt0112471,Before Sunrise,"Comedy, Drama, Romance",Richard Linklater,Anne Walker-McBay,"Richard Linklater, Kim Krizan",8.1,381616,101
77,tt0209144,Memento,"Mystery, Thriller",Christopher Nolan,"Jennifer Todd, Suzanne Todd","Christopher Nolan, Jonathan Nolan",8.4,1449169,113
78,tt0083658,Blade Runner,"Action, Drama, Sci-Fi",Ridley Scott,Michael Deeley,"Hampton Fancher, David Webb Peoples, Philip K. Dick",8.1,886613,117
79,tt0299977,Hero,"Action, Adventure, Drama",Yimou Zhang,"Bill Kong, Sook Yhun, Yimou Zhang","Feng Li, Yimou Zhang, Bin Wang",7.9,194947,94
80,tt0381681,Before Sunset,"Drama, Romance",Richard Linklater,Anne Walker-McBay,"Richard Linklater, Julie Delpy, Ethan Hawke, Kim Krizan",8.1,317997,80
81,tt0087544,Warriors of the Wind,"Adventure, Animation, Sci-Fi",Hayao Miyazaki,Isao Takahata,"Hayao Miyazaki, Kazunori Itô",8.0,198492,117
82,tt0430357,Miami Vice,"Action, Crime, Drama",Michael Mann,"Pieter Jan Brugge, Michael Mann","Michael Mann, Anthony Yerkovich",6.1,132586,132
83,tt0374102,Open Water,"Adventure, Drama, Horror",Chris Kentis,Laura Lau,Chris Kentis,5.8,59416,79
85,tt0082971,Raiders of the Lost Ark,Adventure,Steven Spielberg,Frank Marshall,"Lawrence Kasdan, George Lucas, Philip Kaufman",8.4,1116294,115
86,tt0430051,The Elementary Particles,"Drama, Romance",Oskar Roehler,"Oliver Berben, Bernd Eichinger","Oskar Roehler, Michel Houellebecq",6.5,8469,113
87,tt0087469,Indiana Jones and the Temple of Doom,"Action, Adventure",Steven Spielberg,Robert Watts,"Willard Huyck, Gloria Katz, George Lucas",7.5,571553,118
88,tt0092890,Dirty Dancing,"Drama, Music, Romance",Emile Ardolino,Linda Gottlieb,Eleanor Bergstein,7.1,282655,100
89,tt0097576,Indiana Jones and the Last Crusade,Adventure,Steven Spielberg,Robert Watts,"Jeffrey Boam, George Lucas, Menno Meyjes, Philip Kaufman",8.2,867836,127
90,tt0086960,Beverly Hills Cop,"Action, Comedy, Crime",Martin Brest,"Jerry Bruckheimer, Don Simpson","Daniel Petrie Jr., Danilo Bach",7.4,233657,105
91,tt0023037,Land Without Bread,"Documentary, Short",Luis Buñuel,"Ramón Acín, Luis Buñuel","Luis Buñuel, Rafael Sánchez Ventura, Pierre Unik",7.3,6730,30
92,tt0169024,Megacities,Documentary,Michael Glawogger,"Erich Lackner, Rolf Schmid",Michael Glawogger,7.4,1079,90
93,tt0052561,Anatomy of a Murder,"Drama, Mystery",Otto Preminger,Otto Preminger,"Wendell Mayes, John D. Voelker",8.0,78244,161
94,tt0436488,Kunstgriff,"Comedy, Short",André F. Nebe,Raoul B. Reinert,Katrin Lehnert,6.7,39,6
95,tt0120591,Armageddon,"Action, Adventure, Sci-Fi",Michael Bay,"Michael Bay, Jerry Bruckheimer, Gale Anne Hurd","Jonathan Hensleigh, J.J. Abrams, Tony Gilroy, Shane Salerno, Robert Roy Pool",6.7,482036,151
96,tt0092644,Beverly Hills Cop II,"Action, Comedy, Crime",Tony Scott,"Jerry Bruckheimer, Don Simpson","Danilo Bach, Daniel Petrie Jr., Eddie Murphy, Robert D. Wachs, Larry Ferguson, Warren Skaaren",6.6,147777,103
97,tt0084827,Tron,"Action, Adventure, Sci-Fi",Steven Lisberger,Donald Kushner,"Steven Lisberger, Bonnie MacBird",6.7,147021,96
98,tt0172495,Gladiator,"Action, Adventure, Drama",Ridley Scott,"David Franzoni, Branko Lustig, Douglas Wick","David Franzoni, John Logan, William Nicholson",8.5,1868136,155
99,tt0185125,All About My Mother,"Comedy, Drama, Romance",Pedro Almodóvar,,Pedro Almodóvar,7.8,110295,101
100,tt0120735,"Lock, Stock and Two Smoking Barrels","Comedy, Crime",Guy Ritchie,Matthew Vaughn,Guy Ritchie,8.1,651863,107
101,tt0110413,Léon: The Professional,"Action, Crime, Drama",Luc Besson,,Luc Besson,8.5,1359346,110
102,tt0315543,Open Hearts,"Drama, Romance",Susanne Bier,"Jonas Frederiksen, Vibeke Windeløv","Susanne Bier, Anders Thomas Jensen",7.5,11719,113
103,tt0075314,Taxi Driver,"Crime, Drama",Martin Scorsese,"Julia Phillips, Michael Phillips",Paul Schrader,8.2,1035384,114
104,tt0130827,Run Lola Run,"Action, Crime, Thriller",Tom Tykwer,Stefan Arndt,Tom Tykwer,7.6,217619,80
105,tt0088763,Back to the Future,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Neil Canton, Bob Gale","Robert Zemeckis, Bob Gale",8.5,1465945,116
106,tt0093773,Predator,"Action, Adventure, Horror",John McTiernan,"John Davis, Lawrence Gordon, Joel Silver","Jim Thomas, John Thomas",7.8,504234,107
107,tt0208092,Snatch,"Comedy, Crime",Guy Ritchie,Matthew Vaughn,Guy Ritchie,8.2,981461,102
108,tt0108394,Three Colors: Blue,"Drama, Music, Mystery",Krzysztof Kieślowski,Marin Karmitz,"Krzysztof Kieślowski, Krzysztof Piesiewicz, Agnieszka Holland, Edward Zebrowski, Slawomir Idziak",7.8,118700,98
109,tt0111507,Three Colors: White,"Comedy, Drama, Romance",Krzysztof Kieślowski,Marin Karmitz,"Krzysztof Kieślowski, Krzysztof Piesiewicz, Agnieszka Holland, Edward Zebrowski, Edward Kłosiński, Marcin Latallo",7.6,85020,92
110,tt0111495,Three Colors: Red,"Drama, Mystery, Romance",Krzysztof Kieślowski,Marin Karmitz,"Krzysztof Piesiewicz, Krzysztof Kieślowski, Agnieszka Holland, Edward Zebrowski, Edward Kłosiński, Marcin Latallo",8.0,116399,99
111,tt0086250,Scarface,"Crime, Drama",Brian De Palma,Martin Bregman,"Oliver Stone, Howard Hawks, Ben Hecht, Armitage Trail",8.3,1026861,170
112,tt0243862,Italian for Beginners,"Comedy, Drama, Romance",Lone Scherfig,Ib Tardini,"Maeve Binchy, Lone Scherfig",7.0,14492,112
113,tt0374546,"Spring, Summer, Fall, Winter... and Spring","Drama, Romance",Kim Ki-duk,Seung-jae Lee,Kim Ki-duk,8.0,91226,103
114,tt0100405,Pretty Woman,"Comedy, Romance",Garry Marshall,"Arnon Milchan, Steven Reuther",J.F. Lawton,7.1,409493,119
115,tt0118715,The Big Lebowski,"Comedy, Crime","Joel Coen, Ethan Coen",Ethan Coen,"Ethan Coen, Joel Coen",8.1,921075,117
116,tt0416320,Match Point,"Drama, Romance, Thriller",Woody Allen,"Letty Aronson, Lucy Darwin, Gareth Wiley",Woody Allen,7.6,239841,124
117,tt0094226,The Untouchables,"Crime, Drama, Thriller",Brian De Palma,Art Linson,"David Mamet, Oscar Fraley, Eliot Ness, Paul Robsky, Chip Miller",7.8,355288,119
118,tt0367594,Charlie and the Chocolate Factory,"Adventure, Comedy, Family",Tim Burton,"Brad Grey, Lorne Orleans, Richard D. Zanuck","Roald Dahl, John August",6.7,575298,115
120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",Peter Jackson,"Peter Jackson, Barrie M. Osborne, Tim Sanders, Fran Walsh","J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Peter Jackson",8.9,2223689,178
121,tt0167261,The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh","J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Stephen Sinclair, Peter Jackson",8.8,1972345,179
122,tt0167260,The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh","J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Peter Jackson",9.0,2180639,201
123,tt0077869,The Lord of the Rings,"Adventure, Animation, Fantasy",Ralph Bakshi,Saul Zaentz,"Chris Conkling, Peter S. Beagle, J.R.R. Tolkien",6.2,38412,132
124,tt0086961,No End,"Drama, Romance",Krzysztof Kieślowski,Ryszard Chutkowski,"Krzysztof Kieślowski, Krzysztof Piesiewicz",7.3,6295,107
125,tt0080668,Railway Station,"Documentary, Short",Krzysztof Kieślowski,,Krzysztof Kieślowski,6.4,739,14
126,tt0082631,Short Working Day,Drama,Krzysztof Kieślowski,,"Krzysztof Kieślowski, Hanna Krall",6.8,448,73
127,tt0084549,Blind Chance,"Drama, Romance",Krzysztof Kieślowski,Jacek Szeligowski,Krzysztof Kieślowski,7.7,12364,114
128,tt0119698,Princess Mononoke,"Adventure, Animation, Fantasy",Hayao Miyazaki,Toshio Suzuki,Hayao Miyazaki,8.3,487719,133
129,tt0245429,Spirited Away,"Adventure, Animation, Family",Hayao Miyazaki,"Donald W. Ernst, John Lasseter, Toshio Suzuki",Hayao Miyazaki,8.6,977940,124
132,tt0065780,Gimme Shelter,"Documentary, Music, Thriller","Albert Maysles, David Maysles, Charlotte Zwerin",,,7.8,13840,91
133,tt0054205,Primary,"Documentary, History, News",Robert Drew,Robert Drew,Robert Drew,7.1,1680,60
134,tt0190590,"O Brother, Where Art Thou?","Adventure, Comedy, Crime","Joel Coen, Ethan Coen",Ethan Coen,"Homer, Ethan Coen, Joel Coen",7.7,353967,107
135,tt0061589,Bob Dylan – Don't Look Back,"Documentary, Music",D.A. Pennebaker,"John Court, Albert Grossman",D.A. Pennebaker,7.9,11060,96
136,tt0022913,Freaks,"Drama, Horror",Tod Browning,,"Clarence Aaron 'Tod' Robbins, Willis Goldbeck, Leon Gordon, Al Boasberg, Charles MacArthur, Edgar Allan Woolf",7.8,55111,64
137,tt0107048,Groundhog Day,"Comedy, Drama, Fantasy",Harold Ramis,"Trevor Albert, Harold Ramis","Danny Rubin, Harold Ramis",8.0,738888,101
138,tt0021814,Dracula,"Drama, Fantasy, Horror","Tod Browning, Karl Freund","Tod Browning, Carl Laemmle Jr.","Bram Stoker, Hamilton Deane, John L. Balderston, Garrett Fort, Louis Bromfield, Tod Browning, Max Cohen, Dudley Murphy, Frederick Stephani, Louis Stevens",7.3,65149,74
139,tt0164756,Mifune,"Comedy, Drama, Romance",Søren Kragh-Jacobsen,"Birgitte Hald, Morten Kaufmann","Anders Thomas Jensen, Søren Kragh-Jacobsen",7.1,8344,98
140,tt0275491,Bad Education,"Crime, Drama",Pedro Almodóvar,Agustín Almodóvar,Pedro Almodóvar,7.4,66255,106
141,tt0246578,Donnie Darko,"Drama, Mystery, Sci-Fi",Richard Kelly,"Adam Fields, Nancy Juvonen, Sean McKittrick",Richard Kelly,8.0,916238,113
142,tt0388795,Brokeback Mountain,"Drama, Romance",Ang Lee,"Diana Ossana, James Schamus","Annie Proulx, Larry McMurtry, Diana Ossana",7.7,420142,134
143,tt0020629,All Quiet on the Western Front,"Drama, War",Lewis Milestone,Carl Laemmle Jr.,"Erich Maria Remarque, Maxwell Anderson, George Abbott, Del Andrews, C. Gardner Sullivan, Walter Anthony, Lewis Milestone",8.1,72441,152
144,tt0093191,Wings of Desire,"Drama, Fantasy, Romance",Wim Wenders,"Anatole Dauman, Wim Wenders","Wim Wenders, Peter Handke, Richard Reitinger, Bernard Eisenschitz",7.9,84472,128
145,tt0115751,Breaking the Waves,Drama,Lars von Trier,"Peter Aalbæk Jensen, Vibeke Windeløv","Lars von Trier, Peter Asmussen, David Pirie",7.8,76348,153
146,tt0190332,"Crouching Tiger, Hidden Dragon","Action, Adventure, Drama",Ang Lee,"Li-Kong Hsu, Bill Kong, Ang Lee","Hui-Ling Wang, James Schamus, Kuo Jung Tsai, Du Lu Wang",7.8,296332,120
147,tt0053198,The 400 Blows,"Crime, Drama",François Truffaut,,"François Truffaut, Marcel Moussy",8.0,135143,99
148,tt0430576,The Secret Life of Words,"Drama, Romance",Isabel Coixet,Esther García,Isabel Coixet,7.4,13712,115
149,tt0094625,Akira,"Action, Animation, Drama",Katsuhiro Ōtomo,"Shunzô Katô, Ryôhei Suzuki","Katsuhiro Ōtomo, Izō Hashimoto",8.0,229471,124
150,tt0083511,48 Hrs.,"Action, Comedy, Crime",Walter Hill,"Lawrence Gordon, Joel Silver","Roger Spottiswoode, Walter Hill, Larry Gross, Steven E. de Souza",6.9,93997,96
152,tt0079945,Star Trek: The Motion Picture,"Adventure, Mystery, Sci-Fi",Robert Wise,"David C. Fein, Gene Roddenberry","Harold Livingston, Alan Dean Foster, Gene Roddenberry",6.4,101754,143
153,tt0335266,Lost in Translation,"Comedy, Drama",Sofia Coppola,"Sofia Coppola, Ross Katz",Sofia Coppola,7.7,532942,102
154,tt0084726,Star Trek II: The Wrath of Khan,"Action, Adventure, Sci-Fi",Nicholas Meyer,Robert Sallin,"Jack B. Sowards, Harve Bennett, Gene Roddenberry, Nicholas Meyer, Samuel A. Peeples",7.7,136454,113
155,tt0468569,The Dark Knight,"Crime, Thriller",Christopher Nolan,"Christopher Nolan, Lorne Orleans, Charles Roven, Emma Thomas","Jonathan Nolan, Christopher Nolan, David S. Goyer, Bob Kane",9.1,3202223,152
156,tt0329767,Wilbur Wants to Kill Himself,"Comedy, Drama, Romance",Lone Scherfig,Sisse Graum Jørgensen,"Lone Scherfig, Anders Thomas Jensen",6.8,8255,109
157,tt0088170,Star Trek III: The Search for Spock,"Action, Adventure, Sci-Fi",Leonard Nimoy,Harve Bennett,"Harve Bennett, Gene Roddenberry",6.7,91151,105
158,tt0119472,Knockin' on Heaven's Door,"Action, Comedy, Crime",Thomas Jahn,"André Hennicke, Til Schweiger, Tom Zickler","Thomas Jahn, Til Schweiger",7.8,37210,87
159,tt0109255,Maybe... Maybe Not,Comedy,Sönke Wortmann,Bernd Eichinger,"Sönke Wortmann, Ralf König",6.5,6689,93
160,tt0000012,The Arrival of a Train at La Ciotat,"Documentary, Short","Auguste Lumière, Louis Lumière","Auguste Lumière, Louis Lumière",,7.4,14162,1
161,tt0240772,Ocean's Eleven,"Crime, Thriller",Steven Soderbergh,Jerry Weintraub,"George Clayton Johnson, Jack Golden Russell, Harry Brown, Charles Lederer, Ted Griffin",7.7,679132,116
162,tt0099487,Edward Scissorhands,"Drama, Fantasy, Romance",Tim Burton,"Tim Burton, Denise Di Novi","Tim Burton, Caroline Thompson",7.8,568161,105
163,tt0349903,Ocean's Twelve,"Crime, Thriller",Steven Soderbergh,Jerry Weintraub,"George Nolfi, George Clayton Johnson, Jack Golden Russell",6.5,439749,125
164,tt0054698,Breakfast at Tiffany's,"Comedy, Drama, Romance",Blake Edwards,"Martin Jurow, Richard Shepherd","Truman Capote, George Axelrod",7.5,205596,115
165,tt0096874,Back to the Future Part II,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Neil Canton, Bob Gale","Robert Zemeckis, Bob Gale",7.8,626155,108
166,tt0082100,The Party,"Comedy, Drama, Romance",Claude Pinoteau,Marcel Dassault,"Danièle Thompson, Claude Pinoteau",6.7,11978,100
167,tt0272152,K-PAX,"Drama, Mystery, Sci-Fi",Iain Softley,"Robert F. Colesberry, Lawrence Gordon, Lloyd Levin","Gene Brewer, Charles Leavitt",7.4,203578,120
168,tt0092007,Star Trek IV: The Voyage Home,"Adventure, Comedy, Sci-Fi",Leonard Nimoy,Harve Bennett,"Steve Meerson, Peter Krikes, Harve Bennett, Nicholas Meyer, Leonard Nimoy, Gene Roddenberry",7.3,97165,119
169,tt0100403,Predator 2,"Action, Horror, Sci-Fi",Stephen Hopkins,"John Davis, Lawrence Gordon, Joel Silver","Jim Thomas, John Thomas",6.3,203475,108
170,tt0289043,28 Days Later,"Drama, Horror, Sci-Fi",Danny Boyle,Andrew Macdonald,Alex Garland,7.5,552532,113
171,tt0083686,The Party 2,"Comedy, Drama, Family",Claude Pinoteau,Marcel Dassault,"Danièle Thompson, Claude Pinoteau",6.3,5794,109
172,tt0098382,Star Trek V: The Final Frontier,"Action, Adventure, Fantasy",William Shatner,Harve Bennett,"Gene Roddenberry, William Shatner, Harve Bennett, David Loughery",5.5,68319,107
173,tt0046672,"20,000 Leagues Under the Sea","Adventure, Drama, Family",Richard Fleischer,,"Earl Felton, Jules Verne",7.2,39580,127
174,tt0102975,Star Trek VI: The Undiscovered Country,"Action, Adventure, Sci-Fi",Nicholas Meyer,"Steven-Charles Jaffe, Ralph Winter","Gene Roddenberry, Leonard Nimoy, Lawrence Konner, Mark Rosenthal, Nicholas Meyer, Denny Martin Flinn",7.3,85572,110
175,tt0095250,The Big Blue,"Adventure, Drama, Sport",Luc Besson,Patrice Ledoux,"Luc Besson, Robert Garland, Marilyn Goldin, Jacques Mayol, Marc Perrier",7.5,59120,168
176,tt0387564,Saw,"Horror, Mystery, Thriller",James Wan,"Mark Burg, Gregg Hoffman, Oren Koules","Leigh Whannell, James Wan",7.6,514429,103
177,tt0101889,The Fisher King,"Comedy, Drama, Fantasy",Terry Gilliam,"Debra Hill, Lynda Obst",Richard LaGravenese,7.5,97236,137
178,tt0109303,Blown Away,"Action, Crime, Drama",Stephen Hopkins,"Pen Densham, Richard Barton Lewis, John Watson","John Rice, Joe Batteer, Jay Roach",6.3,37080,121
179,tt0373926,The Interpreter,"Crime, Mystery, Thriller",Sydney Pollack,"Tim Bevan, Eric Fellner, Kevin Misher","Martin Stellman, Brian Ward, Charles Randolph, Scott Frank, Steven Zaillian",6.4,115981,128
180,tt0181689,Minority Report,"Action, Crime, Mystery",Steven Spielberg,"Bonnie Curtis, Jan de Bont, Gerald R. Molen, Walter F. Parkes","Scott Frank, Jon Cohen, Philip K. Dick",7.6,624601,145
182,tt0452624,The Good German,"Drama, Mystery, Romance",Steven Soderbergh,"Ben Cosgrove, Gregory Jacobs","Paul Attanasio, Joseph Kanon",6.0,27050,105
183,tt0098663,The Wizard,"Adventure, Comedy, Drama",Todd Holland,"David Chisholm, Ken Topolsky",David Chisholm,6.1,17735,100
184,tt0119396,Jackie Brown,"Crime, Drama, Thriller",Quentin Tarantino,Lawrence Bender,"Quentin Tarantino, Elmore Leonard",7.5,406677,154
185,tt0066921,A Clockwork Orange,"Crime, Sci-Fi",Stanley Kubrick,Stanley Kubrick,"Stanley Kubrick, Anthony Burgess",8.2,940949,136
186,tt0425210,Lucky Number Slevin,"Crime, Drama, Thriller",Paul McGuigan,"Christopher Eberts, Andreas Grosch, Kia Jam, Robert Kravis",Jason Smilovic,7.7,340274,110
187,tt0401792,Sin City,"Crime, Thriller","Frank Miller, Robert Rodriguez",Elizabeth Avellan,"Frank Miller, Robert Rodriguez",8.0,822544,124
189,tt0458481,Sin City: A Dame to Kill For,"Action, Adventure, Crime","Frank Miller, Robert Rodriguez","Sergei Bespalov, Aaron Kaufman, Stephen L'Heureux, Mark C. Manuel",Frank Miller,6.5,179466,102
191,tt0248103,The State I Am In,Drama,Christian Petzold,"Florian Koerner von Gustorf, Michael Weber","Harun Farocki, Christian Petzold",6.9,2924,106
192,tt0091605,The Name of the Rose,"Drama, Mystery, Thriller",Jean-Jacques Annaud,"Bernd Eichinger, Bernd Schaefers","Umberto Eco, Andrew Birkin, Gérard Brach, Howard Franklin, Alain Godard",7.7,127887,130
193,tt0111280,Star Trek: Generations,"Action, Adventure, Mystery",David Carson,Rick Berman,"Gene Roddenberry, Rick Berman, Ronald D. Moore, Brannon Braga",6.6,91729,118
194,tt0211915,Amélie,"Comedy, Romance",Jean-Pierre Jeunet,Claudie Ossard,"Guillaume Laurant, Jean-Pierre Jeunet",8.2,844091,122
195,tt0023622,Trouble in Paradise,"Comedy, Crime, Romance",Ernst Lubitsch,Ernst Lubitsch,"Samson Raphaelson, Grover Jones, Aladár László",7.9,17624,83
196,tt0099088,Back to the Future Part III,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Neil Canton, Bob Gale","Robert Zemeckis, Bob Gale",7.5,523799,118
197,tt0112573,Braveheart,"Drama, War",Mel Gibson,"Bruce Davey, Mel Gibson, Alan Ladd Jr.",Randall Wallace,8.3,1167729,178
198,tt0035446,To Be or Not to Be,"Comedy, Romance, War",Ernst Lubitsch,Ernst Lubitsch,"Melchior Lengyel, Edwin Justus Mayer, Ernst Lubitsch",8.1,50142,99
199,tt0117731,Star Trek: First Contact,"Action, Adventure, Drama",Jonathan Frakes,Rick Berman,"Gene Roddenberry, Rick Berman, Brannon Braga, Ronald D. Moore",7.6,138506,111
