tmdb_id,imdb_id,title,genre,director,producers,screenwriters,imdb_rating,imdb_vote_count,running_time_minutes
10340,tt0048280,Lady and the Tramp,"Adventure, Animation, Comedy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Cutting",,"Ward Greene, Erdman Penner, Joe Rinaldi, Ralph Wright, Don DaGradi, Don Christensen, Joe Grant, Dick Huemer, Bill Peet, Louis Pollock, Frank Tashlin, Sam Cobean",7.3,163060,76
10341,tt0101458,Until the End of the World,"Action, Drama, Sci-Fi",Wim Wenders,"Graham Burke, Anatole Dauman, John Kirby, Robert Kirby","Peter Carey, Wim Wenders, Solveig Dommartin, Michael Almereyda",6.8,12682,158
10342,tt0133046,Teaching Mrs. Tingle,"Comedy, Thriller",Kevin Williamson,Cathy Konrad,Kevin Williamson,5.4,22687,96
10344,tt0097368,The Fly II,"Drama, Horror, Sci-Fi",Chris Walas,Steven-Charles Jaffe,"Mick Garris, Jim Wheat, Ken Wheat, Frank Darabont, George Langelaan",5.2,26528,105
10345,tt0097637,K-9,"Action, Comedy, Crime",Rod Daniel,"Charles Gordon, Lawrence Gordon","Steven Siegel, Scott Myers",6.1,37825,101
10347,tt0118996,Dobermann,"Action, Comedy, Crime",Jan Kounen,"Marc Baschet, Frédérique Dumas-Zajdela, Éric Névé",Joël Houssin,6.5,19882,103
10348,tt0114126,Thunderbolt,"Action, Crime, Thriller",Gordon Chan,Lam Chua,"Gordon Chan, Hing-Ka Chan, Paul Clay, Paul B. Clay, Wai Chung Philip Kwok",6.3,10970,110
10349,tt0106664,The Dark Half,"Horror, Mystery, Thriller",George A. Romero,Declan Baldwin,"Stephen King, George A. Romero",6.0,22317,122
10350,tt0131646,Wing Commander,"Action, Adventure, Sci-Fi",Chris Roberts,Todd Moyer,"Chris Roberts, Kevin Droney",4.4,18248,100
10351,tt0120524,Wishmaster,"Fantasy, Horror",Robert Kurtzman,"Pierre David, Clark Peterson, Noël A. Zanitsch",Peter Atkins,5.9,29114,90
10353,tt0120882,The Visitors II: The Corridors of Time,"Comedy, Fantasy",Jean-Marie Poiré,"Jean-Marie Poiré, Alain Terzian","Christian Clavier, Jean-Marie Poiré",6.1,14617,118
10354,tt0139668,True Crime,"Crime, Drama, Mystery",Clint Eastwood,"Clint Eastwood, Lili Fini Zanuck, Richard D. Zanuck","Andrew Klavan, Larry Gross, Paul Brickman, Stephen Schiff",6.6,40209,127
10355,tt0192657,Shiri,"Action, Thriller",Kang Je-kyu,"Moo-Rim Byun, Kwan-hak Lee",Kang Je-kyu,6.5,8954,125
10356,tt0372303,The Good Shepherd,"Drama, Mystery, Thriller",Lewin Webb,Gary Howsam,Brad Mirman,5.2,1714,91
10357,tt0120461,Volcano,"Action, Drama, Sci-Fi",Mick Jackson,"Andrew Z. Davis, Neal H. Moritz","Jerome Armstrong, Billy Ray",5.6,87578,104
10358,tt1007028,Zack and Miri Make a Porno,"Comedy, Romance",Kevin Smith,Scott Mosier,Kevin Smith,6.5,187162,101
10359,tt0142804,Resurrection,"Crime, Drama, Horror",Russell Mulcahy,"Howard Baldwin, Patrick D. Cheh, Christopher Lambert, Nile Niami","Brad Mirman, Christopher Lambert",6.1,12132,108
10360,tt0986233,Hunger,"Biography, Crime, Drama",Steve McQueen,"Robin Gutch, Laura Hastings-Smith","Enda Walsh, Steve McQueen",7.5,76775,96
10361,tt0353489,Ginger Snaps 2: Unleashed,"Horror, Thriller",Brett Sullivan,"Paula Devonshire, Grant Harvey, Steven Hoban","Karen Walton, Megan Martin",6.3,16775,94
10362,tt1103275,Two Lovers,"Drama, Romance",James Gray,"Donna Gigliotti, James Gray, Anthony Katagas","James Gray, Ric Menello",7.0,46099,110
10363,tt0054189,Purple Noon,"Crime, Drama, Thriller",René Clément,"Raymond Hakim, Robert Hakim, Goffredo Lombardo","Patricia Highsmith, René Clément, Paul Gégauff",7.7,24260,118
10364,tt0065528,Catch-22,"Comedy, Drama, War",Mike Nichols,"John Calley, Martin Ransohoff","Joseph Heller, Buck Henry",7.1,27201,122
10366,tt0176269,Universal Soldier: The Return,"Action, Sci-Fi",Mic Rodgers,"Craig Baumgarten, Allen Shapiro, Jean-Claude Van Damme","Richard Rothstein, Christopher Leitch, Dean Devlin, William Malone, John Fasano",4.2,32156,83
10367,tt0365270,Wild Things 2,"Crime, Drama, Mystery",Jack Perez,Marc Bienstock,"Ross Helford, Andy Hurst, Stephen Peters",4.5,8359,95
10368,tt0120857,Tea with Mussolini,"Comedy, Drama, War",Franco Zeffirelli,"Clive Parsons, Riccardo Tozzi, Giovannella Zannoni","John Mortimer, Franco Zeffirelli",6.9,13902,117
10369,tt0118529,14 Days to Life,Thriller,Roland Suso Richter,"Martin Heldmann, Werner Koenig",Holger Karsten Schmidt,6.5,607,105
10370,tt0144555,Premutos: The Fallen Angel,"Comedy, Horror",Olaf Ittenbach,"Olaf Ittenbach, Michael Müller, André Stryi",Olaf Ittenbach,5.5,1968,106
10371,tt0119142,For Richer or Poorer,"Comedy, Romance",Bryan Spicer,"Bill Sheinberg, Jonathan Sheinberg, Sid Sheinberg","Jana Howington, Steve LuKanic",5.9,13126,115
10372,tt0089110,Ewoks: The Battle for Endor,"Adventure, Family, Fantasy","Jim Wheat, Ken Wheat",Thomas G. Smith,"Ken Wheat, Jim Wheat, George Lucas",5.4,11769,94
10373,tt0079766,Quadrophenia,"Drama, Music",Franc Roddam,"Roy Baird, Bill Curbishley","Dave Humphries, Martin Stellman, Franc Roddam, Pete Townshend",7.2,22713,120
10374,tt0116651,Irren ist männlich,"Comedy, Romance",Sherry Hormann,"Kirsten Hager, Eric Moss","Kit Hopkins, Orlando Lübbert",6.0,325,96
10375,tt0160184,D-Tox,"Crime, Thriller",Jim Gillespie,"Karen Kehela Sherwood, Ric Kidney","Howard Swindle, Ron L. Brinkerhoff",5.4,31205,96
10376,tt0120731,The Legend of 1900,"Drama, Music, Romance",Giuseppe Tornatore,,"Alessandro Baricco, Giuseppe Tornatore",8.0,74010,169
10377,tt0104952,My Cousin Vinny,"Comedy, Crime",Jonathan Lynn,"Dale Launer, Paul Schiff",Dale Launer,7.6,160492,120
10378,tt1254207,Big Buck Bunny,"Animation, Comedy, Short",Sacha Goedegebure,Ton Roosendaal,Sacha Goedegebure,6.4,2261,10
10379,tt0101775,Drop Dead Fred,"Comedy, Drama, Fantasy",Ate de Jong,Paul Webster,"Elizabeth Livingston, Carlos Davis, Anthony Fingleton",6.0,34022,103
10380,tt0101329,An American Tail: Fievel Goes West,"Adventure, Animation, Comedy","Phil Nibbelink, Simon Wells","Steven Spielberg, Robert Watts","Flint Dille, Charles Swenson, David Kirschner",6.5,30388,75
10381,tt0134033,Plunkett & Macleane,"Action, Adventure, Comedy",Jake Scott,"Tim Bevan, Eric Fellner, Rupert Harvey","Selwyn Roberts, Robert Wade, Neal Purvis, Charles McKeown",6.3,10832,99
10383,tt0160484,Lost Souls,"Drama, Horror, Thriller",Janusz Kaminski,"Meg Ryan, Nina R. Sadowsky","Pierce Gardner, Betsy Stahl",4.8,11781,97
10384,tt0134983,Supernova,"Horror, Sci-Fi, Thriller","Walter Hill, Francis Ford Coppola, Jack Sholder","Daniel Chuba, Jamie Dixon, Ash R. Shah","William Malone, Daniel Chuba, David C. Wilson",4.9,21132,90
10385,tt0162983,Hanging Up,"Comedy, Drama",Diane Keaton,"Nora Ephron, Laurence Mark","Delia Ephron, Nora Ephron",4.9,13815,94
10386,tt0129167,The Iron Giant,"Action, Adventure, Animation",Brad Bird,"Allison Abbate, Des McAnuff","Tim McCanlies, Brad Bird, Ted Hughes",8.1,263495,86
10387,tt0162866,The Emperor and the Assassin,"Drama, History, Romance",Kaige Chen,"Kaige Chen, Satoru Iseki, Shirley Kao, Jiacheng Liu","Hiroshi Aramata, Kaige Chen, Peigong Wang",7.2,6721,162
10388,tt0165854,The Limey,"Crime, Drama, Mystery",Steven Soderbergh,"John Hardy, Scott Kramer",Lem Dobbs,6.9,38425,89
10389,tt0325655,The Eye,"Horror, Mystery, Thriller","Danny Pang, Oxide Chun Pang","Peter Ho-Sun Chan, Lawrence Cheng","Yuet-Jan Hui, Danny Pang, Oxide Chun Pang",6.6,31145,99
10390,tt0126916,For Love of the Game,"Drama, Romance, Sport",Sam Raimi,"Armyan Bernstein, Amy Robinson","Michael Shaara, Dana Stevens",6.6,40503,137
10391,tt0163983,Bless the Child,"Crime, Drama, Horror",Chuck Russell,Mace Neufeld,"Cathy Cash Spellman, Thomas Rickman, Clifford Green, Ellen Green",5.1,15994,107
10392,tt0215919,Käpt’n Blaubär – Der Film,"Animation, Comedy, Family",Hayo Freitag,Hanno Huth,Walter Moers,6.6,612,85
10393,tt0191397,The Replacements,"Comedy, Sport",Howard Deutch,Dylan Sellers,Vince McKewin,6.6,74832,118
10394,tt0210065,Gangster No. 1,"Crime, Drama, Thriller",Paul McGuigan,"Jonathan Cavendish, Norma Heyman","Johnny Ferguson, Louis Mellis, David Scinto",6.7,15917,103
10395,tt0111742,Wolf,"Drama, Horror, Romance",Mike Nichols,Douglas Wick,"Jim Harrison, Wesley Strick",6.3,64777,125
10396,tt0096244,Tequila Sunrise,"Crime, Drama, Romance",Robert Towne,Thom Mount,Robert Towne,6.1,36394,115
10397,tt0145653,Angela's Ashes,"Biography, Drama",Alan Parker,"David Brown, Alan Parker, Scott Rudin","Frank McCourt, Laura Jones, Alan Parker",7.3,24565,145
10398,tt0150377,Double Jeopardy,"Crime, Drama, Mystery",Bruce Beresford,Leonard Goldberg,"David Weisberg, Douglas Cook",6.5,105808,105
10399,tt0178737,Mansfield Park,"Drama, Romance",Patricia Rozema,Sarah Curtis,"Jane Austen, Patricia Rozema",7.0,28003,112
10400,tt0174856,The Hurricane,"Biography, Drama, Sport",Norman Jewison,"Armyan Bernstein, Norman Jewison, John Ketcham","Rubin 'Hurricane' Carter, Sam Chaiton, Terry Swinton, Armyan Bernstein, Dan Gordon",7.6,108472,146
10401,tt0144201,The Girl on the Bridge,"Comedy, Drama, Romance",Patrice Leconte,Christian Fechner,Serge Frydman,7.4,14941,90
10402,tt0205000,Deuce Bigalow: Male Gigolo,"Comedy, Romance",Mike Mitchell,"Barry Bernardi, Sidney Ganis","Harris Goldberg, Rob Schneider",5.7,85551,88
10403,tt0105151,The Player,"Comedy, Crime, Drama",Robert Altman,"David Brown, Michael Tolkin, Nick Wechsler",Michael Tolkin,7.5,72633,124
