tmdb_id,imdb_id,title,status,budget_amount,budget_currency,revenue_amount,revenue_currency,producers,mpaa_rating
1659,tt0108317,Texas - Doc Snyder hält die Welt in Atem,ok,,,,,Hanno Huth,
1660,tt0074152,Small Change,ok,,,,,François Truffaut,
1661,tt0177507,Gigantic,ok,,,,,"Stefan Arndt, Tom Tykwer",
1663,tt0057718,The Squeaker,ok,,,,,Horst Wendlandt,
1670,tt0061795,The Horror of Blackwood Castle,ok,,,,,Horst Wendlandt,
1672,tt0082949,The Professional,ok,,,,,"Georges Dancigers, Alexandre Mnouchkine, Jean-Paul Belmondo",
1673,tt0053729,Comanche Station,ok,,,,,Budd Boetticher,
1676,tt0063811,Will Penny,ok,,,,,Walter Seltzer,
1678,tt0047034,Godzilla,ok,60000000,yen,,,Tomoyuki Tanaka,
1679,tt0048127,Godzilla Raids Again,ok,32000000,yen,,,Tomoyuki Tanaka,
1680,tt13364334,King Kong vs. Godzilla,ok,432000,United States dollar,,,"John Beck, Tomoyuki Tanaka",
1682,tt0058379,Mothra vs. Godzilla,ok,,,,,Tomoyuki Tanaka,
1684,tt0949502,Prinzessinnenbad,ok,,,,,,
1686,tt0061465,Chelsea Girls,ok,,,,,Andy Warhol,
1693,tt0365513,Monster Man,ok,,,,,,
1694,tt0089885,Re-Animator,ok,900000,United States dollar,,,Brian Yuzna,
1697,tt0780180,Grave Decisions,ok,,,,,Roxy Film,
1698,tt0187696,Anatomy,ok,,,,,"Andrea Willson, Thomas Wöbke, Jakob Claussen",
1699,tt0312358,Anatomy 2,ok,,,,,"Andrea Willson, Jakob Claussen",
1702,tt0109575,Death Machine,ok,3000000,United States dollar,,,Dominic Anciano,R
1711,tt0131502,No Code of Conduct,ok,,,,,Bret Michaels,
1714,tt0060390,Fahrenheit 451,ok,1500000,United States dollar,,,Lewis M. Allen,
1716,tt0080610,The Last Metro,ok,,,,,François Truffaut,
1718,tt0033021,Santa Fe Trail,ok,,,,,Hal B. Wallis,
1719,tt0058458,The Soft Skin,ok,,,,,António da Cunha Telles,
1720,tt0351461,Noi the Albino,ok,,,1317132,United States dollar,"Þórir Snær Sigurjónsson, Kim Magnusson, Philippe Bober, Skúli Fr. Malmquist",
1721,tt0069095,All the Way Boys,ok,,,,,Italo Zingarelli,
1723,tt0074554,The Front,ok,,,,,"Jack Rollins, Charles H. Joffe, Martin Ritt",
1725,tt0055614,West Side Story,ok,6000000,United States dollar,,,Robert Wise,
1732,tt0079753,The Prisoner of Zenda,ok,,,,,Walter Mirisch,
1736,tt0805613,Shoppen,ok,,,,,"Martin Richter, Florian Deyle",
1739,tt0051185,Weißer Holunder,ok,,,,,Eberhard Meichsner,
1740,tt0300237,Naked,ok,,,,,Bernd Eichinger,
1772,tt0101588,City of Hope,ok,3000000,United States dollar,,,,R
1773,tt0022626,American Madness,ok,,,,,Harry Cohn,
1774,tt0124295,The Big One,ok,,,,,,
1775,tt0109370,Canadian Bacon,ok,,,,,Michael Moore,
1776,tt0486358,Jesus Camp,ok,,,,,"Rachel Grady, Heidi Ewing",
1778,tt0309326,The Backyard,ok,,,,,Paul Hough,
1782,tt0940580,Afterwards,ok,,,,,Olivier Delbosc,
1783,tt0243609,To End All Wars,ok,,,,,Steven Spielberg,
1785,tt0097884,May Fools,ok,,,,,"Vincent Malle, Louis Malle",
1787,tt0062728,Les Biches,ok,,,,,André Génovès,
1789,tt0052837,The Gazebo,ok,,,,,Lawrence Weingarten,
1790,tt0064409,Heaven with a Gun,ok,,,,,"Maurice King, Frank King",M
1793,tt0085919,Max Dugan Returns,ok,,,,,Neil Simon,
1802,tt0112769,La Cérémonie,ok,,,,,Marin Karmitz,
1803,tt0086896,Angel,ok,,,,,Donald P. Borchers,
1810,tt0045296,Viva Zapata!,ok,,,,,Darryl F. Zanuck,
1811,tt0119809,Nowhere,ok,,,,,Gregg Araki,
1814,tt0496566,Schroeder's Wonderful World,ok,,,,,,
1815,tt0077234,The Big Sleep,ok,,,,,"Elliott Kastner, Lew Grade",R
1818,tt0054389,Shoot the Piano Player,ok,890062.95,French franc,,,Pierre Braunberger,
1826,tt0409184,Russian Dolls,ok,,,23727301,United States dollar,"Matthew George Justice, Bruno Levy, Matthew Hannan",
1829,tt0073114,The Story of Adèle H.,ok,,,,,Claude Miller,
1834,tt0037101,"Murder, My Sweet",ok,468000,United States dollar,,,Adrian Scott,
1836,tt0337961,In My Skin,ok,,,,,,
1837,tt0227458,The Secret,ok,,,,,,
1838,tt0425235,We Shall Overcome,ok,,,,,Sisse Graum Jørgensen,
1839,tt0220967,Alias,ok,,,,,,
1840,tt0039217,The Brasher Doubloon,ok,,,,,Robert Bassler,
1841,tt0039545,Lady in the Lake,ok,1026000,United States dollar,,,,
1843,tt0388888,Dig!,ok,,,,,,
1845,tt0841044,2 Days in Paris,ok,,,,,"Christophe Mazodier, Thierry Potok, Julie Delpy",
1846,tt0064638,Marlowe,ok,,,,,"Gabriel Katzka, Sidney Beckerman",M/PG
1848,tt0145400,Poodle Springs,ok,,,,,,
1849,tt0057362,Nine Hours to Rama,ok,,,,,Mark Robson,
1851,tt0077156,The Amazing Captain Nemo,ok,,,,,"Arthur Weiss, Irwin Allen",
1853,tt0390123,In the Realms of the Unreal,ok,,,,,,
1854,tt0069660,...But Johnny!,ok,,,,,,
1855,tt0060227,Le avventure e gli amori di Miguel Cervantes,ok,,,,,Alexander Salkind,
1859,tt0031725,Ninotchka,ok,,,,,"Sidney Franklin, Ernst Lubitsch",
1860,tt0096815,And the Violins Stopped Playing,ok,,,,,Alexander Ramati,
1861,tt0427925,Take The Bridge,ok,,,,,,
1862,tt0082059,Berlin Tunnel 21,ok,,,,,,
1863,tt0065782,Sunflower,ok,,,,,"Carlo Ponti, Arthur Cohn, Joseph E. Levine",
1864,tt0065828,Hello-Goodbye,ok,,,,,André Hakim,
1868,tt0062686,Ankle Bone,ok,,,,,Pierre Braunberger,
1870,tt0059168,Fantomas Unleashed,ok,,,,,Alain Poiré,
1871,tt0058089,Fantomas,ok,,,,,Alain Poiré,
1872,tt0389328,Rise: Blood Hunter,ok,,,2850927,United States dollar,"Nathan Kahane, Sam Raimi",R
1874,tt0438859,Goodbye Bafana,ok,,,,,,
1875,tt0060400,Fantomas vs. Scotland Yard,ok,,,,,Alain Poiré,
1876,tt0382222,The Penalty King,ok,,,,,,
1877,tt0104115,Doctor Mordrid,ok,,,,,Charles Band,
1879,tt0061735,Guess Who's Coming to Dinner,ok,4000000,United States dollar,,,Stanley Kramer,
1881,tt0309093,Les yeux dans les Bleus,ok,,,,,,
1882,tt0042727,The Men,ok,,,,,Stanley Kramer,
1884,tt0087225,The Ewok Adventure,ok,,,,,George Lucas,
1888,tt0060424,The Fortune Cookie,ok,3705000,United States dollar,6000000,United States dollar,Billy Wilder,
1889,tt0059248,Make Your Bets Ladies,ok,,,,,,
1890,tt0090830,Children of a Lesser God,ok,,,,,Burt Sugarman,
1896,tt0445691,Salvador (Puig Antich),ok,,,,,Jaume Roures,
1899,tt0425985,The Chinese Botanist's Daughters,ok,,,,,,
1901,tt0385267,In Good Company,ok,,,,,"Paul Weitz, Lawrence Pressman, Chris Weitz",
1905,tt0065465,Die Bettwurst,ok,,,,,,
1906,tt0079924,Solo Sunny,ok,,,,,Herbert Ehler,
1908,tt0053946,Inherit the Wind,ok,2000000,United States dollar,,,Stanley Kramer,
1910,tt0441795,SommerHundeSöhne,ok,,,,,Cyril Tuschi,
1912,tt0810868,Reclaim Your Brain,ok,,,,,Hans Weingartner,
1914,tt0487027,FC Venus,ok,,,,,Stefan Schubert,
1915,tt0102397,"Manta, Manta",ok,,,,,Bernd Eichinger,
1917,tt0326036,Who Killed Bambi?,ok,3800000,United States dollar,973000,United States dollar,"Caroline Benjo, Carole Scotta, Simon Arnal",
1918,tt0388311,Or (My Treasure),ok,,,,,"Itai Tamir, Marek Rozenbaum",
1920,tt0050271,Crime of Passion,ok,,,,,Herman Cohen,
1925,tt0389738,Agnes and His Brothers,ok,,,,,Stefan Arndt,
1926,tt0328802,September 11,ok,,,,,"Jacques Perrin, Alejandro González Iñárritu",
1935,tt0410639,Me and My Sister,ok,,,,,,
1937,tt0051429,Bonjour Tristesse,ok,,,13200000,United States dollar,Otto Preminger,
1938,tt0044357,Angel Face,ok,,,,,Otto Preminger,
1939,tt0037008,Laura,ok,,,,,Otto Preminger,
1940,tt0053182,Porgy and Bess,ok,7000000,United States dollar,,,Samuel Goldwyn,
1941,tt0053804,Exodus,ok,,,,,Otto Preminger,
1942,tt0058997,Bunny Lake Is Missing,ok,,,,,Otto Preminger,
1943,tt0073637,Rosebud,ok,,,,,Otto Preminger,
1951,tt0342735,Manderlay,ok,,,,,Vibeke Windeløv,
1959,tt0120257,Swept from the Sea,ok,,,,,,
1962,tt0325733,Love in Thoughts,ok,,,,,"Christophe Mazodier, Manuela Stehr, Stefan Arndt",
1963,tt0456470,The Bow,ok,,,,,Kim Ki-duk,
1964,tt0441762,A Friend of Mine,ok,,,,,Tom Tykwer,
1967,tt0384814,Ask the Dust,ok,,,,,"Paula Wagner, Tom Cruise",
1976,tt0030287,Jezebel,ok,1250000,United States dollar,,,"William Wyler, Hal B. Wallis",
1978,tt0042994,Stage Fright,ok,1400000,United States dollar,1908000,United States dollar,Alfred Hitchcock,
1980,tt0951318,Bra Boys,ok,,,1698976,Australian dollar,,
1984,tt0048918,1984,ok,,,,,,
1986,tt0388505,Live and Become,ok,,,,,"Riccardo Tozzi, Yoram Globus, Radu Mihăileanu",
1987,tt0103793,Benny's Video,ok,,,,,"Bernard Lang, Veit Heiduschka",
1993,tt0465188,Golden Door,ok,,,,,"Luc Besson, Alexandre Mallet-Guy",
1994,tt0023238,The Most Dangerous Game,ok,219869,United States dollar,,,"Merian C. Cooper, David O. Selznick, Ernest B. Schoedsack",
1998,tt0384177,Holy Lola,ok,,,,,,
2002,tt0437526,The Last Mistress,ok,,,,,,
2003,tt0348529,Anatomy of Hell,ok,,,,,,
2004,tt0177882,Kebab Connection,ok,,,,,Stefan Schubert,
2006,tt0051406,"Bell, Book and Candle",ok,,,,,Julian Blaustein,
2008,tt0417976,The Promise,ok,,,34209000,United States dollar,,
2009,tt1032846,"4 Months, 3 Weeks and 2 Days",ok,900000,United States dollar,10174839,United States dollar,Cristian Mungiu,
2010,tt1016205,The Mourning Forest,ok,,,,,Hengameh Panahi,
2012,tt0841925,Silent Light,ok,,,,,Carlos Reygadas,
2014,tt0880502,The Edge of Heaven,ok,,,,,"Andreas Thiel, Fatih Akin, Erhan Özoğul, Ali Akdeniz, Klaus Maeck",
2015,tt0817225,Secret Sunshine,ok,3500000,United States dollar,10856400,United States dollar,,
2021,tt0113448,Jack & Sarah,ok,,,,,Simon Channing-Williams,
2025,tt0095943,A Few Days with Me,ok,,,,,Philippe Carcassonne,
2029,tt0274155,Tanguy,ok,,,,,Charles Gassot,
2030,tt0050179,Confessions of Felix Krull,ok,,,,,Hans Abich,
2031,tt0051382,Resurrection,ok,,,,,Hans Abich,
2032,tt0416111,Transit,ok,5300000,United States dollar,300000,United States dollar,Sergey Selyanov,
2033,tt0116635,Infinity,ok,,,,,"Michael Leahy, Patricia Broderick, Joel Soisson",
